Designator,Mid X,Mid Y,Layer,Rotation
C1,-11.82,-0.905,T,90.0
C10,-18.908,13.454,T,90.0
C11,20.095,-4.72,T,180.0
C12,13.731,8.692,T,0.0
C13,-10.018,19.217,T,90.0
C14,19.89,18.54,T,180.0
C15,-1.532,24.49,T,90.0
C16,-12.12,24.49,T,90.0
C17,-16.368,20.286,T,270.0
C18,-15.418,-1.418,T,180.0
C19,-11.034,15.092,T,90.0
C2,-9.85,-0.905,T,90.0
C20,-20.428,13.449,T,90.0
C21,3.69,17.82,T,270.0
C22,3.66,-2.68,T,270.0
C23,1.72,17.82,T,270.0
C24,1.68,-2.68,T,270.0
C25,-3.6,7.55,T,270.0
C26,-5.6,7.55,T,270.0
C3,-8.28,-0.905,T,90.0
C4,-8.481,16.108,T,180.0
C5,-3.655,-2.38,T,0.0
C6,-0.874,0.591,T,180.0
C7,5.7,17.82,T,270.0
C8,5.63,-2.68,T,270.0
C9,-1.6,7.55,T,270.0
D1,-19.416,29.824,T,90.0
D2,-17.892,29.8495,T,90.0
D3,-24.623,19.283,T,0.0
D4,4.918,26.141,T,90.0
D5,-28.179,19.283,T,0.0
D6,9.735,23.678,T,180.0
D7,-19.924,18.648,T,0.0
IC1,-12.36,7.21,T,270.0
J1,-32.57,24.04,T,0.0
J2,-31.735,18.267,T,270.0
J3,-32.57,29.57,T,0.0
J4,-31.1,2.9,T,270.0
J6,-23.956,23.982,T,0.0
Q1,11.0,18.04,T,180.0
Q2,11.0,12.29,T,0.0
Q3,11.0,0.73,T,180.0
Q4,11.0,-5.12,T,0.0
Q5,2.98,10.52,T,180.0
Q6,2.99,4.17,T,0.0
Q7,9.667,28.3,T,0.0
R1,-2.081,20.68,T,180.0
R10,19.39,-6.76,T,180.0
R11,-2.065,16.17,T,180.0
R12,-4.24,1.757,T,180.0
R13,-4.24,3.281,T,180.0
R14,9.922,7.98,T,180.0
R15,9.922,5.64,T,180.0
R16,-13.574,17.188,T,90.0
R17,-14.844,20.263,T,90.0
R18,-13.32,20.199,T,90.0
R19,-6.145,19.664,T,0.0
R2,-2.065,19.11,T,180.0
R20,-6.145,21.315,T,0.0
R21,-22.718,12.806,T,180.0
R22,-22.718,14.33,T,0.0
R25,-11.796,19.029,T,90.0
R26,-19.385,-0.61,T,0.0
R27,4.587,22.966,T,180.0
R3,-2.065,17.64,T,180.0
R4,13.74,4.97,T,180.0
R5,-2.335,-0.88,T,180.0
R6,-3.685,-3.9,T,180.0
R7,19.312,20.68,T,180.0
R8,19.312,16.37,T,180.0
R9,19.39,-2.68,T,180.0
U2,21.097,28.3,T,180.0
U3,20.97,1.63,T,90.0
