Designator,Mid X,Mid Y,Layer,Rotation
C1,222.770014,-272.375024,T,270.0
C1,162.820009,-272.375024,T,270.0
C1,102.870004,-272.375024,T,270.0
C1,42.919999,-272.375024,T,270.0
C1,222.770014,-230.385019,T,270.0
C1,162.820009,-230.385019,T,270.0
C1,102.870004,-230.385019,T,270.0
C1,42.919999,-230.385019,T,270.0
C1,222.770014,-188.395014,T,270.0
C1,162.820009,-188.395014,T,270.0
C1,102.870004,-188.395014,T,270.0
C1,42.919999,-188.395014,T,270.0
C1,222.770014,-146.405009,T,270.0
C1,162.820009,-146.405009,T,270.0
C1,102.870004,-146.405009,T,270.0
C1,42.919999,-146.405009,T,270.0
C1,222.770014,-104.415004,T,270.0
C1,162.820009,-104.415004,T,270.0
C1,102.870004,-104.415004,T,270.0
C1,42.919999,-104.415004,T,270.0
C1,222.770014,-62.424999,T,270.0
C1,162.820009,-62.424999,T,270.0
C1,102.870004,-62.424999,T,270.0
C1,42.919999,-62.424999,T,270.0
C10,218.960014,-273.645024,T,0.0
C10,159.010009,-273.645024,T,0.0
C10,99.060004,-273.645024,T,0.0
C10,39.109999,-273.645024,T,0.0
C10,218.960014,-231.655019,T,0.0
C10,159.010009,-231.655019,T,0.0
C10,99.060004,-231.655019,T,0.0
C10,39.109999,-231.655019,T,0.0
C10,218.960014,-189.665014,T,0.0
C10,159.010009,-189.665014,T,0.0
C10,99.060004,-189.665014,T,0.0
C10,39.109999,-189.665014,T,0.0
C10,218.960014,-147.675009,T,0.0
C10,159.010009,-147.675009,T,0.0
C10,99.060004,-147.675009,T,0.0
C10,39.109999,-147.675009,T,0.0
C10,218.960014,-105.685004,T,0.0
C10,159.010009,-105.685004,T,0.0
C10,99.060004,-105.685004,T,0.0
C10,39.109999,-105.685004,T,0.0
C10,218.960014,-63.694999,T,0.0
C10,159.010009,-63.694999,T,0.0
C10,99.060004,-63.694999,T,0.0
C10,39.109999,-63.694999,T,0.0
C11,251.205014,-252.825024,T,0.0
C11,191.255009,-252.825024,T,0.0
C11,131.305004,-252.825024,T,0.0
